seed,num_steps,connected_steps,connected_ratio,ever_connected,first_connected_step,last_connected_step,num_disappear_events,first_disappear_step,final_connected,final_node_count,persistent_after_first_connection,persistent_threshold_step,always_connected
0,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
1,1201,840,0.6994171523730225,1,0,849,2,678,0,22,0,1075,0
2,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
3,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
4,1201,1030,0.8576186511240633,1,0,1200,1,76,1,19,0,1075,0
5,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
6,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
7,1201,304,0.2531223980016653,1,0,303,1,304,0,16,0,1075,0
8,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
9,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
10,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
11,1201,418,0.3480432972522898,1,0,417,1,418,0,19,0,1075,0
12,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
13,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
14,1201,219,0.1823480432972523,1,0,218,1,219,0,18,0,1075,0
15,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
16,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
17,1201,660,0.5495420482930891,1,0,659,1,660,0,20,0,1075,0
18,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
19,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
20,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
21,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
22,1201,1194,0.9941715237302248,1,0,1200,1,123,1,20,0,1075,0
23,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
24,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
25,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
26,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
27,1201,708,0.5895087427144047,1,0,707,1,708,0,23,0,1075,0
28,1201,1201,1.0,1,0,1200,0,,1,14,1,1075,1
29,1201,73,0.06078268109908409,1,0,72,1,73,0,19,0,1075,0
30,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
31,1201,1201,1.0,1,0,1200,0,,1,15,1,1075,1
32,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
33,1201,926,0.7710241465445462,1,0,925,1,926,0,18,0,1075,0
34,1201,1201,1.0,1,0,1200,0,,1,10,1,1075,1
35,1201,915,0.761865112406328,1,0,914,1,915,0,21,0,1075,0
36,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
37,1201,200,0.16652789342214822,1,0,199,1,200,0,21,0,1075,0
38,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
39,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
40,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
41,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
42,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
43,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
44,1201,1201,1.0,1,0,1200,0,,1,15,1,1075,1
45,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
46,1201,27,0.022481265611990008,1,0,26,1,27,0,19,0,1075,0
47,1201,1029,0.8567860116569526,1,0,1028,1,1029,0,15,0,1075,0
48,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
49,1201,992,0.8259783513738551,1,0,1200,1,239,1,23,0,1075,0
50,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
51,1201,317,0.2639467110741049,1,0,316,1,317,0,13,0,1075,0
52,1201,245,0.20399666944213155,1,0,244,1,245,0,19,0,1075,0
53,1201,1195,0.9950041631973355,1,0,1194,1,1195,0,21,1,1075,0
54,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
55,1201,1113,0.9267277268942548,1,0,1112,1,1113,0,18,1,1075,0
56,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
57,1201,1201,1.0,1,0,1200,0,,1,11,1,1075,1
58,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
59,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
60,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
61,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
62,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
63,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
64,1201,870,0.7243963363863447,1,0,869,1,870,0,13,0,1075,0
65,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
66,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
67,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
68,1201,372,0.3097418817651957,1,0,371,1,372,0,20,0,1075,0
69,1201,705,0.5870108243130724,1,0,704,1,705,0,19,0,1075,0
70,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
71,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
72,1201,1085,0.9034138218151541,1,0,1084,1,1085,0,20,1,1075,0
73,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
74,1201,522,0.43463780183180684,1,0,521,1,522,0,17,0,1075,0
75,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
76,1201,53,0.04412989175686927,1,0,52,1,53,0,22,0,1075,0
77,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
78,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
79,1201,1201,1.0,1,0,1200,0,,1,13,1,1075,1
80,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
81,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
82,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
83,1201,785,0.6536219816819318,1,0,784,1,785,0,18,0,1075,0
84,1201,811,0.675270607826811,1,0,810,1,811,0,22,0,1075,0
85,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
86,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
87,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
88,1201,460,0.38301415487094087,1,0,459,1,460,0,17,0,1075,0
89,1201,106,0.08825978351373855,1,0,105,1,106,0,20,0,1075,0
90,1201,406,0.33805162364696084,1,0,405,1,406,0,22,0,1075,0
91,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
92,1201,818,0.6810990840965861,1,0,817,1,818,0,20,0,1075,0
93,1201,257,0.21398834304746045,1,0,1127,3,22,0,22,0,1075,0
94,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
95,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
96,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
97,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
98,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
99,1201,91,0.07577019150707744,1,0,90,1,91,0,19,0,1075,0
100,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
101,1201,467,0.38884263114071604,1,0,466,1,467,0,20,0,1075,0
102,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
103,1201,853,0.7102414654454621,1,0,852,1,853,0,14,0,1075,0
104,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
105,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
106,1201,282,0.23480432972522897,1,0,281,1,282,0,19,0,1075,0
107,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
108,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
109,1201,94,0.07826810990840966,1,0,93,1,94,0,20,0,1075,0
110,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
111,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
112,1201,502,0.417985012489592,1,0,501,1,502,0,23,0,1075,0
113,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
114,1201,1137,0.9467110741049126,1,0,1136,1,1137,0,19,1,1075,0
115,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
116,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
117,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
118,1201,387,0.3222314737718568,1,0,386,1,387,0,19,0,1075,0
119,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
120,1201,1201,1.0,1,0,1200,0,,1,9,1,1075,1
121,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
122,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
123,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
124,1201,542,0.45129059117402165,1,0,541,1,542,0,20,0,1075,0
125,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
126,1201,924,0.7693588676103247,1,0,923,1,924,0,19,0,1075,0
127,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
128,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
129,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
130,1201,1201,1.0,1,0,1200,0,,1,12,1,1075,1
131,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
132,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
133,1201,1126,0.9375520399666945,1,0,1125,1,1126,0,19,1,1075,0
134,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
135,1201,990,0.8243130724396336,1,0,989,1,990,0,21,0,1075,0
136,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
137,1201,450,0.37468776019983346,1,0,955,3,26,0,17,0,1075,0
138,1201,363,0.302248126561199,1,0,362,1,363,0,21,0,1075,0
139,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
140,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
141,1201,299,0.24895920066611157,1,0,298,1,299,0,21,0,1075,0
142,1201,687,0.5720233139050791,1,0,686,1,687,0,10,0,1075,0
143,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
144,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
145,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
146,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
147,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
148,1201,1084,0.9025811823480433,1,0,1083,1,1084,0,20,1,1075,0
149,1201,1083,0.9017485428809325,1,0,1082,1,1083,0,13,1,1075,0
150,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
151,1201,148,0.12323064113238967,1,0,147,1,148,0,19,0,1075,0
152,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
153,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
154,1201,505,0.42048293089092426,1,0,504,1,505,0,19,0,1075,0
155,1201,412,0.3430474604496253,1,0,411,1,412,0,23,0,1075,0
156,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
157,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
158,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
159,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
160,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
161,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
162,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
163,1201,1045,0.8701082431307244,1,0,1044,1,1045,0,21,0,1075,0
164,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
165,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
166,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
167,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
168,1201,229,0.1906744379683597,1,0,228,1,229,0,18,0,1075,0
169,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
170,1201,1126,0.9375520399666945,1,0,1200,1,437,1,22,0,1075,0
171,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
172,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
173,1201,1201,1.0,1,0,1200,0,,1,10,1,1075,1
174,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
175,1201,23,0.019150707743547043,1,0,22,1,23,0,19,0,1075,0
176,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
177,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
178,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
179,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
180,1201,1201,1.0,1,0,1200,0,,1,14,1,1075,1
181,1201,141,0.11740216486261448,1,0,541,3,74,0,21,0,1075,0
182,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
183,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
184,1201,1201,1.0,1,0,1200,0,,1,13,1,1075,1
185,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
186,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
187,1201,261,0.21731890091590342,1,0,914,3,38,0,18,0,1075,0
188,1201,1201,1.0,1,0,1200,0,,1,26,1,1075,1
189,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
190,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
191,1201,141,0.11740216486261448,1,0,140,1,141,0,15,0,1075,0
192,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
193,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
194,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
195,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
196,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
197,1201,223,0.18567860116569526,1,0,949,5,23,0,20,0,1075,0
198,1201,776,0.6461282264779351,1,0,1200,1,337,1,17,0,1075,0
199,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
200,1201,831,0.6919233971690258,1,0,830,1,831,0,22,0,1075,0
201,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
202,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
203,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
204,1201,23,0.019150707743547043,1,0,22,1,23,0,19,0,1075,0
205,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
206,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
207,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
208,1201,227,0.18900915903413823,1,0,364,2,178,0,14,0,1075,0
209,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
210,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
211,1201,575,0.4787676935886761,1,0,574,1,575,0,20,0,1075,0
212,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
213,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
214,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
215,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
216,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
217,1201,613,0.5104079933388843,1,0,612,1,613,0,20,0,1075,0
218,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
219,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
220,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
221,1201,1127,0.9383846794338052,1,0,1126,1,1127,0,18,1,1075,0
222,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
223,1201,40,0.03330557868442964,1,0,39,1,40,0,21,0,1075,0
224,1201,874,0.7277268942547876,1,0,1200,1,178,1,23,0,1075,0
225,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
226,1201,1120,0.93255620316403,1,0,1119,1,1120,0,21,1,1075,0
227,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
228,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
229,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
230,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
231,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
232,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
233,1201,614,0.511240632805995,1,0,613,1,614,0,13,0,1075,0
234,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
235,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
236,1201,1201,1.0,1,0,1200,0,,1,12,1,1075,1
237,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
238,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
239,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
240,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
241,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
242,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
243,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
244,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
245,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
246,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
247,1201,1201,1.0,1,0,1200,0,,1,15,1,1075,1
248,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
249,1201,1201,1.0,1,0,1200,0,,1,11,1,1075,1
250,1201,1095,0.9117402164862615,1,0,1094,1,1095,0,23,1,1075,0
251,1201,841,0.7002497918401333,1,0,926,2,527,0,22,0,1075,0
252,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
253,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
254,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
255,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
